ID,elvishName,elvishText,englishName,englishText,Comments,Neo
elvish_1,Lindë Roccalassen,"Roccalas, linda lótë nórelyo,
anvanya yeldë Roccoliéva,
le calina ve Naira ilwessë;
le rín' anda laurëa loxenen,
caltala ve i calimë alcar,
Roccalas aranel turmawendë. 

Elyë lantanë melmessë sonen;
merilyë melmerya, ness' aranel.
Arwen ëa óress' Elessarwa;
náro vëaner ar canya ohtar;
melilyes nan umiro melë le,
Roccalas aranel turmawendë.

Utúlie'n i mórë; autantë
mahtien ohtassë hair' nóressen,
ar le hehtanentë i maressë:
merintel tirië nissi, híni
i artassen mí tárë oronti,
Roccalas aranel turmawendë.

Merilyë hirë metta nyérelyo;
essenen Haldatir sí lelyalyë
muilessë ve i sanya rocconer;
mí hiswë hendu perino cennë
quén ú estelo i merë firë
Roccalas aranel turmawendë.

Nu qualin roccorya cait' i aran
i né ve atar len ar tornelyan;
arwa macilo matsë yétalyë
rúcim' ulundo acolë caurë;
cuina nér úva pusta Loicoher

Roccalas, umilyë nér, nályë nís;
náro pold', úmëa, morn' ar alta,
turë or caurë ar Sauron or so;
ortanelyë macil tárienna,
rierya lantanë, alantiéro,
Roccalas aranel turmawendë.


Mernelyë firë ar harya alcar;
mahtanelyë Heru Úlairion,
ar náro qualin nan sí caitalyë
ar' aranelya, lá cenilyéro;
umilyë hlarë teldë quettaryar,
Roccalas aranel turmawendë.
Roccalas aranel turmawendë.


Nályë laiw' ar nyérëa cuilenen;
linyenwa nís quet' enwina nólë:
i mát i aranwa envinyatar.
Roccalas, collentë len er cuilë,
nan lá alassë ar ëa-írë,
Roccalas aranel turmawendë.

I melmë arandurwa hirnelyë;
vantanéro ar quentéro yo le
imb' aldar ar lóti mareryassë;
ar quentéro lenna meliro le;
sí nályë envinyanta melmenen
Roccalas aranel turmawendë.

Sí avalyë turë ve i tári;
nauvalyë envinyatarë ve so,
lá turmawendë ar lá aranel,
meluvalyë ilqua cuin' ar vanya;
ve meluvárol, meluvalyë so,
Roccalas indis envinyatarë.",Song to Éowyn,"Éowyn, beautiful flower of your land,
the fairest daughter of the People of Horses,
you are light like the Sun on sky;
you are crowned by long golden hair,
shining like the bright rays of light,
Éowyn princess shieldmaiden. 

You fell in the love with him;
you want his love, young princess.
Arwen is in the heart of Elessar;
he is a man and a bold warrior;
you love him but he does not love you,
Éowyn princess shieldmaiden. 

The darkness has come; they depart
to fight in a war in far lands,
and you they left at home:
they want you to watch women, children
in the fortresses in the high mountains,
Éowyn princess shieldmaiden.

You want to find an end to your grief;
under the name of Dernhelm now you go
secretly like a [lit. the] normal horseman;
in the gray eyes a halfling saw
someone without hope who wants to die
Éowyn princess shieldmaiden. 

Under his dead horse lies the king
who was like a father to you and to your brother;
having a sword in your hands you are looking at
a terrible monster carrying fear;
a living man will not stop the Lord of corpses,
Éowyn princess shieldmaiden. 

Éowyn, you are not a man, you are a woman;
he is strong, evil, dark and large,
rules over fear and Sauron over him;
you lifted a sword high,
his crown fell, he is fallen,
Éowyn princess shieldmaiden. 

You wanted to die and have glory;
you fought the Lord of the Úlairi,
and he is dead but now you lie
beside your king, you do not see him;
you do not hear his last words,
Éowyn princess shieldmaiden. 

You are sick and sorrowful by life;
an old woman speaks old wisdom:
the hands of the king heal.
Éowyn, they bore for you only life,
but not joy and desire to exist,
Éowyn princess shieldmaiden.

The love of a minister you found;
he walked and talked together with you
between trees and flowers in his home;
he said to you that he loves you;
now you are healed by love
Éowyn princess shieldmaiden. 

Now you will not rule as [or, like] the queen;
you will be a healer like him;
not a shieldmaiden and not a princess,
you will love everything alive and fair;
as he will love you, you will love him
Éowyn bride healer. ",Ales Bican,1
elvish_2,Hríveressë,"Et marinyallo mallenna
vantan hríveressë helca,
nu fanyarë fuinehiswa,
lumboinen Naira nurtaina.

Hláranyë ringa Formessúrë,
asúy' aldassen úlassië,
alussa olbalissë nornë,
alamya ve Nuru-nainië. 

Formessúrë-yalmë quéla,
ar Númello holtan hwesta
nísima asúya ninna,
ar nainië ahya lírinna.

Cénan tuilindo awilë
Hyarmello úrima súrë,
nu rámaryat circa-cantë,
alir' aldannar úlassië.

Autar i lumbor, ar Naira
cénan anúta Númenna,
et Rómello Tilion orta,
ar undómess' elen síla.

Ar lómelindë-lírinen,
entúlan yanna ettullen,
nu menel elentintaina,
hrívëo lómessë sina.




























",In a winter's day,"From my home to the street
I walk in a cold winter's day,
under shadowy-grey skies,
the sun hidden by clouds.

I hear the cold Northwind
blowing through the leafless trees,
whispering in the twisted branches,
sounding like a Death-lament. 

The clamour of the Northwind fades,
and from the West I smell a
fragrant Zephyr blowing towards me,
and the lament changes to song. 

I see a swallow flying
from the South, the hot wind
under its sickle-shaped wings
singing towards the leafless trees. 

The clouds pass, and I see
the Sun setting in the West,
and from the East the Moon rises,
and in the twilight the star shines. 

And by the song of the nightingale
I return to whence I came,
under the starlit heavens,
in this winter's evening. ",Vicente Velasco,1
elvish_3,Ríanna,"Namárië, Ríanna vanima, Heriméla!

Antanelyë men melmë ar alassë,

ar renuvammet oialë.


Namárië, Ríanna vanima, Ardalótë!

Coacalinalya firnë ve lícuma súrinen,

nó melmemma len úva firë indommassen.


Namárië, Ríanna vanima, Indotári!

Sí wila Númenna rámainen laurië,

ar nai fëalya seruva oialmaressë. ",Ríanna,"Farewell, beautiful Princess, loving lady!

You gave us love and joy,

and we will remember them forever.


Farewell, beautiful Princess, Flower of the Realm!

The light of your house died like a candle in the wind,

but our love for you will not die in our hearts.


Farewell, beautiful Princess, Queen of Hearts!

Now fly into the West on golden wings,

and may your soul rest in eternal bliss. ",Vicente Velasco,1
elvish_4,I Yessessë (Chapitre 1),"I yessessë Eru ontanë Menel ar Cemen.

Cemen né cumna ar lusta, ar engë mornië or i undumë, nan Eruo Súlë willë or i neni.

Ar equë Eru: ""Eä cálë!"" ar engë cálë.

Eru cennë sa i cálë né mára, ar Eru ciltanë i cálë i morniello.

Ar Eru estanë i cálë Aurë, ar i mornië estanes Lómë. Ar engë sinyë, ar engë arin, i minya aurë.

Ar equë Eru: ""Eä telluma endessë i nenion, ar ciltuvas nén nenello.""

Ar Eru carnë i telluma ar ciltanë i neni or i telluma i nenillon nu i telluma. Ar engë sië.

Ar Eru estanë i telluma Menel. Engë sinyë, ar engë arin, i attëa aurë.

Ar equë Eru: ""Na i neni nu menel hostainë minë nómessë, ar na i parca nór cénina!"" ar engë sië.

 Ar Eru estanë i parca nór Cemen, nan i hostainë neni estanes Eär. Ar Eru cennë sa nes mára.

Ar equë Eru: ""Á colë cemen salquë, olvar carila erdi, yávaldar colila yávë nostalentassen, cemendë."" ar engë sië.

Cemen collë salquë, olvar carila erdi, nostalentassen, ar aldar colila yávë yassë ëar erdentar, nostalentassen. Ar Eru cennë sa nes mára.

Ar engë sinyë, ar engë arin, i nelya aurë.

Ar equë Eru: ""Eä calmar tellumassë menelo ciltien aurë lómillo, ar nauvantë tannar asarion ar aurion ar coranárion.

Nauvantë calmar tellumassë menelo caltien cemenna."" ar engë sië.

Eru carnë i atta altë calmar, i analta calma turien auressë ar i pitya calma turien lómissë, ar i eleni.

Ar Eru panyanë ta tellumassë menelo caltien cemenna.

ar turien auressë ar lómissë ar ciltien cálë morniello. Ar Eru cennë sa nes mára.

Ar engë sinyë, ar engë arin, i cantëa aurë.

Ar equë Eru: ""Á ëa úvë cuinë onnolíva i nenissen, ar á wilë aiweli tellumassë menelo.""

Ar Eru ontanë i altë ëarcelvar ar ilya i úvë cuinë onnaiva i rihtar i nenissen, nostalentassen, ar ilyë rámavoiti onnar nostalentassen. Ar Eru cennë sa nes mára.

Ar Eru laitanë te ar quentë: ""Na yávinquë ar na rimbë, á quatë nén i ëarion, ar na i aiwi rimbë cemendë!""

Ar engë sinyë, ar engë arin, i lempëa aurë.

Ar equë Eru: ""Á colë cemen cuinë onnar nostalentassen, lamni ar celvaller ar cemeno hravani celvar, nostalentassen.""

Ar Eru carnë cemeno hravani celvar nostalentassen, ar i lamni nostalentassen ar ilyë celvar i vantar cemendë, nostalentassen. Ar Eru cennë sa nes mára.

Ar equë Eru: ""Alvë carë Atan venwelvassë, canta velvë; ar turuvas ëaro lingwi ar menelo aiwi ar i lamni ar ilya i cemen ar ilyë celvar i vantar cemendë.""

Ar Eru ontanë Atan venweryassë, Eruo venwessë ontaneryes; hanu ar ní ontaneryet.

Ar Eru laitanë te, ar equë Eru tienna: ""Na yávinquë ar na rimbë, á quatë cemen ar ása panya nu le, ar á turë ëaro lingwi ar menelo aiwi ar ilyë cuinë onnar i vantar cemendë.""

Ar equë Eru: ""En! antan len ilyë olvar carila erdi, ilya i ëar ilya i palúressë cemeno, ar ilyë aldar carila yávi yassen ëar erdi. Nas ya matuval.

Ar ilyë hravani celvain ar ilye menelo aiwin ar ilyan i vanta cemendë, ilya cuinan, antan ilyë laiquë olvar matien.""

Ar Eru cennë ilya ya carnes, ar en! nes ammára. Ar engë sinyë, ar engë arin, i enquëa aurë.













",Genesis (Chapitre 1),"In the beginning God created the Heavens and the Earth. 

The Earth was [*né] void and empty, and there was darkness upon [or, over] the abyss, but the Spirit of God hovered above the waters.

And God said, ""There be light!"" and there was light. 

God saw that the light was good, and God separated the light from the darkness. 

And God called the light Day, and the darkness he called Night. And it became evening, and it became morning, the first day. 

And God said, ""Let there be a firmament in the middle of the waters, and it shall separate water from water."" 

And God made the firmament and separated the waters above the firmament from the waters below the firmament. And it was so. 

And God called the firmament Heaven. And it became evening, and it became morning, the second day.

And God said: ""Let the waters under the heavens be gathered in one place, and let the dry land appear!"" and it was so.  

And God called the dry land Earth, but the waters [that were] gathered he called Sea. And God saw that it was good. 

And God said: ""Let the earth bear [forth] grass, plants making seeds, fruit-trees bearing [forth] fruit according to their kinds, in the earth."" and it was [became? remained?] so. 

The earth bore grass, plants making seeds, according to their kinds, and trees bearing fruit in which their seeds are, according to their kinds. And God saw that it was good.

And it became evening, and it became morning, the third day.  

And God said: ""Let there be lights [or, lamps] on the firmament of the heavens to separate day from night, and they will be signs of times and days and years. 

They will be lights on the firmament of the heavens to shine upon the earth."" and it was [became?] so. 

God made the two great lights, the greatest light to rule at day and the lesser [pitya, ""small""] light to rule at night, and the stars.

And God placed them on the firmament of the heavens to shine upon the earth.  

and to rule by day and by night and to separate light from darkness. And God saw that it was good. 

And it became evening, and it became morning, the fourth day. 

And God said: ""Let there be a swarm [úvë = ""abundance""] of living creatures in the waters, and let birds fly in the firmament of the heavens."" 

And God created the great animals of the sea and the whole abundance of living creatures that move in the waters, after their kinds, and all winged creatures after their kinds. And God saw that it was good.

And God blessed them and said, ""Be fruitful and be[come] many, fill the water of the oceans, and the birds shall be many in the earth [lit. ""be the birds numerous on earth]!""  

And it became evening, and it became morning, the fifth day. 

And God said: ""Let the earth bring forth [lit. bear] living creatures according to their kinds, beasts and insects and the wild animals of the earth, according to their kinds."" 

And God made the wild animals of the earth according to their kinds, and the beasts according to their kinds and all animals that walk the earth [cemendë, locative], according to their kinds. And God saw that it was good.

And God said: ""Let us make Man in our image, shaped like us; and he shall rule the fish of the sea and the birds of the heavens and the beasts and all the earth and all animals that walk the earth."" 

And God created Man in his image, in the image of God he created him; male and female he created them. 

And God blessed them, and God said to them: ""Be fruitful and be[come] many, fill the earth and subdue it [place it under you], and rule the fish of the sea and the birds of the heavens and all living creatures that walk the earth.""

And God said: ""Behold! I give you all plants making seeds, all there are on the entire surface of the earth, and all trees making fruits in which there are seeds. It is what you will eat. 

And to all wild animals and all the birds of heaven and to everything that walks the earth, to all that lives, I give all green plants to eat.""

And God saw all that he [had] made, and behold! it was very good. And it became evening, and it became morning, the sixth day.",,1
elvish_5,I Yessessë (Chapitre 2),"Sië menel ar cemen ar ilya hossento ner telyainë.

Ar i otsëa auressë Eru telyanë carierya ya carnes, ar sendes i otsëa auressë ilya carieryallo ya carnes.

Ar Eru laitanë i otsëa aurë ar airitánë sa, an sassë Eru sendë ilya carieryallo ya ontanes ar carnes.

Sin ná i nyarna menelo ar cemeno írë nentë ontainë, i auressë ya carnë Yehóva Eru menel ar cemen.

Voro palúressëa tussa lá engë cemendë, ar olvar voro úmer tuita, an Yehóva Eru lá tyarnë mistë lanta cemenna, ar lá engë Atan mótien i palúressë.

Mal hísië ortanë cemello, ar ánes nén ilya i palúren cemeno.

Ar Yehóva Eru carnë i Atan astonen i cemello ar súyanë cuilesúlë mir nengwirya, ar i Atan né cuina onna.

Ar Yehóva Eru empannë tarwa Erendë, Rómenna, ar entassë panyanes i Atan i carnes.

Ar Yehóva Eru tyarnë tuita cemello ilya alda i ná vanya cenien ar mára matien ho sa, ar yando i alda cuilëo endessë i tarvo, ar i alda istyo márava ar ulcuva.

Engë sírë i lendë et Erenello antien nén i tarwan, ar entallo nes hyárina mir canta celumi.

I essë i minyo ná Píhyon; sa ná i sirë os ilya i nórë Havíla, yassë ëa malta.

Ar tana nórëo malta ná mára. Entassë ëar yando nísima suhtë ar ahyamírë.

Ar i essë i attëa sírëo ná Íhon; sa ná i sirë os ilya i nórë Cús.

Ar i essë i nelya sírëo ná Hirrecel; sa ná i celë rómessë Ahyuro. Ar i cantëa sírë ná Perat.

Ar Yehóva Eru mampë i Atan ar panyanë se Ereno tarwassë mótien sassë ar tirien sa.

Ar Yehóva Eru cannë i Atanen, quétala: “Ilya aldallo i tarwassë lertalyë matë.

Mal i aldallo istyo márava ar ulcuva áva matë, an i auressë ya matilyë sallo, anwavë firuvalyë.”

Ar equë Yehóva Eru: “Umë mára sa i Atan ná eressëa. Caruvan sen restar i ná ve se.”

Yehóva Eru carnë cemennen ilyë celvar palúrëo ar ilyë aiwi menelo, ar tulyaneryet i Atanna cenien mana estaneryet. Ya i Atan estanë ilya cuina onna, sa né esserya.

Ar i Atan estanë ilyë lamni ar i aiwi menelo ar ilyë hravani celvar, mal Atanen úmes hirë restar i né ve se.

San Yehóva Eru tyarnë núra fúmë lanta i Atanna, ar írë fumnes, mampes minë hónaxoryaron ar quantë hrávenen.

Ar Yehóva Eru carnë i hónaxo ya mampes i Atanello mir nís, ar tulyaneryes i Atanna.

San equë i Atan: “Lú sina nas axor axonyaron ar hrávë hrávenyo! Sin nauva estaina Nís, an Nerello nes mapaina.”

Sië nér autuva ataryallo ar amilleryallo ar himyuva vesserya, ar nauvantë hrávë er.

Nentë heldë, i Atan ar vesserya, mal úmentë naityanë.


























",Genesis (Chapitre 2),"Thus heaven and earth and all of their army were completed [lit. finished].

And on the seventh day God concluded his work that he [had] made, and he rested on the seventh day from all his work that he [had] made.  

And God blessed the seventh day and hallowed it, for on it God rested from all his work that he (had) created and made.

This is the story of heaven and earth when they were created, on the day that Jehovah God made heaven and earth. 

There was not yet any bush on the field on earth, and plants still did not grow, for Jehovah God [had] not made rain fall upon earth, and there was no man to cultivate [lit. work on] the field.

But a mist rose from the earth, and it gave water to the entire surface of the earth. 

And Jehovah God made the man out of dust from the earth and breathed [/blew] life-breath into his nose, and the man was [/became] a living creature. 

And Jehovah God planted a garden in Eden, toward the East, and there he placed the Man that he [had] made.

And Jehovah God made grow from the earth every tree that is beautiful to look upon [cenien, ""for seeing"", dative] and good to eat from [lit. ""good for eating from it""], and also the tree of life in the midst of the garden, and the tree of (the) knowledge of good and evil.  

There was a river that went out from Eden to give water to the garden, and from there it was parted into four streams. 

The name of the first [river] is Pishon [Hebrew: Pîshôn]; it is the one that flows around all the land (of) Havíla [Chawîlâ], where there is gold. 

And the gold of that land is good. There are also fragrant gum and onyx stone. 

And the name of the second river is Gihon; it is the one that flows around all the land (of) Cush. 

And the name of the third river is Hiddekel; that is the one that goes east of Assyria. And the fourth river is the Euphrates.

And Jehovah God took the man and placed him in the garden of Eden to cultivate it [lit. work in it] and watch [over] it

But from the tree of (the) knowledge of good and evil do not eat, for on the day that you eat from it, you will surely die. 

And Jehovah God said: ""It is not good that the man is lonely. I will make him a helper that is like him."" 

Jehovah God made out of earth all the animals of the field and all the birds of heaven, and he lead them to the man to see what he called [/would call] them. What [lit. (that) which] the man called any living creature, it was (to be) its name. 

And the man named all the beasts and the birds of heaven and all wild animals, but for Man he did not find a helper that was like him.

Then Jehovah God had a deep sleep fall upon the man, and while he slept, he took one of his ribs and filled [up] with flesh.

And Jehovah God made the rib that he took from the man into a woman, and he lead her to the man. 

Then the man said: ""This time it is bones of my bones and flesh of my flesh! This one will be called Woman, for from Man she was taken."" 

Therefore [lit. thus] a man will leave [lit. pass from] his father and his mother and stick to his wife, and they will be(come) one flesh. 

They were naked, the man and his wife, but they were not ashamed. ",Helge Kare Fauskanger,1
elvish_6,Namárië - Altariello nainië Loriendessë In Tengwar,"Ai! Laurië lantar lassi súrinen,
Yéni únótimë ve rámar aldaron!
Yéni ve lintë yuldar avánier
Mi oromardi lissë-miruvóreva
Andúnë pella, Vardo tellumar
Nu luini yassen tintilar i eleni
Ómaryo airetári-lírinen. 

Sí man i yulma nin enquantuva?

An sí Tintallë Varda oiolossëo
Ve fanyar máryat elentari ortanë
Ar ilyë tier undulávë lumbulë;
Ar Sindanóriello caita mornië
i falmalinnar imbë met ar hísië
Untúpa calaciryo miri oialë.
Sí vanwa ná, rómello vanwa, Valimar!

Namárië! Nai hiruvalyë Valimar,
Nai elyë hiruva. Namárië! ",Farewell - Galadriel's Lament in Lórien,"Ah! Like gold fall the leaves in the wind,
long years numberless as the wings of trees!
The years have passed like swift draughts
of the sweet mead in lofty halls beyond the West,
beneath the blue vaults of Varda
wherein the stars tremble in the song of her voice, holy and queenly.

Who now shall refill the cup for me? 

For now the Kindler, Varda, the Queen of the Stars,
from Mount Everwhite has uplifted her hands like clouds,
and all paths are drowned deep in shadow;
and out of a grey country darkness lies
on the foaming waves between us,
and mist covers the jewels of Calacirya for ever.
Now lost, lost to those from the East is Valimar

Farewell! Maybe thou shalt find Valimar.
Maybe even thou shalt find it. Farewell! ",,0
elvish_7,Makirya,"Man cenuva fána cirya
métima hrestallo círa,
i fairi nécë
ringa súmaryassë
ve maiwi yaimië?

Man tiruva fána cirya,
wilwarin wilwa,
ëar-celumessen
rámainen elvië
ëar falastala,
winga hlápula
rámar sisílala,
cálë fifírula?

Man hlaruva rávëa súrë
ve tauri lillassië,
ninqui carcar yarra
isilmë ilcalassë,
isilmë pícalassë,
isilmë lantalassë
ve loicolícuma;
raumo nurrua,
undumë rúma?

Man cenuva lumbor ahosta
Menel acúna
ruxal’ ambonnar,
ëar amortala,
undumë hácala,
enwina lúmë
elenillor pella
talta-taltala
atalantëa mindonnar?

Man tiruva rácina cirya
ondolissë mornë
nu fanyarë rúcina,
anar púrëa tihta
axor ilcalannar
métim’ auressë?

Man cenuva métim’ andúnë?",Makirya,"Who shall see a white ship
from the final beach steering,
the vague phantoms
in her cold bosom
like gulls wailing? 

Who shall heed a white ship
like a butterfly fluttering,
in the flowing sea
on star-like wings,
the sea foaming,
the foam flying in the wind,
the wings shining white,
the light slowly fading?

Who shall hear the roaring wind
like the many leaves of the forests,
the white rocks growling
in the gleaming moonlight,
in the dwindling moonlight,
in the falling moonlight
like a corpse-candle;
the storm grumble,
the abyss 

Who shall see the clouds assemble,
the Heavens bending
upon crumbling hills,
the sea heaving,
the abyss yawning,
the old darkness
from beyond the stars
sliding down and collapsing
upon lofty ruined towers?

Who shall heed a broken ship
on the many black rocks
under shattered skies,
a discoloured sun blinking
on bones gleaming
in the last down? 

Who shall see the last evening? ",,0
elvish_8,Eldar ataformaiti,"Eldar ataformaiti,
epetai i hyarma ú ten ulca símaryassen.
úsië, an cé mo quernë cendelë númenna, ve senya,
i hyarma tentanë Melcorello,
ar cé mo formenna tentanes Amanna.",Eldar ataformaiti,"The Elves were ambidexters,
consequently the left hand was not to them evil in their imaginations.
On the contrary, for if one turned the face westward, as was usual,
the left hand pointed away from Melkor,
and if northwards, it pointed toward towards Aman. ",,0
elvish_9,Átaremma,"Átaremma i ëa han ëa,
na airë esselya,
aranielya na tuluva,
na carë indómelya
cemendë tambë Erumandë.
Ámen anta síra ilaurëa massamma,
ar ámen apsenë úcaremmar
sív' emmë apsenet tien i úcarer emmen.
Álame tulya úsahtienna
mal ámë etelehta ulcullo.

Násië. ",Átaremma,"Our Father, who art in Heaven,
hallowed be Thy Name.
Thy Kingdom come,
Thy Will be done,
on Earth, as it is in Heaven.
Give us this day our daily bread,
and forgive us our trespasses,
as we forgive those who trespass against us.
And lead us not into temptation,
but deliver us from evil.

Amen. ",,0
elvish_10,Aiya María,"Aia María quanta Eruanno
i Héru aselyë
aistana elyë imíca nissi
ar aistana i yávë mónalyo Yésus
Airë María Eruo ontaril
á hyamë rámen úcarindor
sí ar lúmessë ya firuvammë

Násië ",Aiya María,"Hail Mary, full of grace,
the Lord is with thee;
blessed art thou amongst women,
and blessed is the fruit of thy womb, Jesus.
Holy Mary, Mother of God,
pray for us sinners,
now and at the hour of our death.

Amen. ",,0
