ID,elvishName,elvishText,englishName,englishText,Comments,Neo
elvish_6,Namárië - Altariello nainië Loriendessë In Tengwar,"Ai! Laurië lantar lassi súrinen,
Yéni únótimë ve rámar aldaron!
Yéni ve lintë yuldar avánier
Mi oromardi lissë-miruvóreva
Andúnë pella, Vardo tellumar
Nu luini yassen tintilar i eleni
Ómaryo airetári-lírinen. 

Sí man i yulma nin enquantuva?

An sí Tintallë Varda oiolossëo
Ve fanyar máryat elentari ortanë
Ar ilyë tier undulávë lumbulë;
Ar Sindanóriello caita mornië
i falmalinnar imbë met ar hísië
Untúpa calaciryo miri oialë.
Sí vanwa ná, rómello vanwa, Valimar!

Namárië! Nai hiruvalyë Valimar,
Nai elyë hiruva. Namárië! ",Farewell - Galadriel's Lament in Lórien,"Ah! Like gold fall the leaves in the wind,
long years numberless as the wings of trees!
The years have passed like swift draughts
of the sweet mead in lofty halls beyond the West,
beneath the blue vaults of Varda
wherein the stars tremble in the song of her voice, holy and queenly.

Who now shall refill the cup for me? 

For now the Kindler, Varda, the Queen of the Stars,
from Mount Everwhite has uplifted her hands like clouds,
and all paths are drowned deep in shadow;
and out of a grey country darkness lies
on the foaming waves between us,
and mist covers the jewels of Calacirya for ever.
Now lost, lost to those from the East is Valimar

Farewell! Maybe thou shalt find Valimar.
Maybe even thou shalt find it. Farewell! ",,0
elvish_7,Makirya,"Man cenuva fána cirya
métima hrestallo círa,
i fairi nécë
ringa súmaryassë
ve maiwi yaimië?

Man tiruva fána cirya,
wilwarin wilwa,
ëar-celumessen
rámainen elvië
ëar falastala,
winga hlápula
rámar sisílala,
cálë fifírula?

Man hlaruva rávëa súrë
ve tauri lillassië,
ninqui carcar yarra
isilmë ilcalassë,
isilmë pícalassë,
isilmë lantalassë
ve loicolícuma;
raumo nurrua,
undumë rúma?

Man cenuva lumbor ahosta
Menel acúna
ruxal’ ambonnar,
ëar amortala,
undumë hácala,
enwina lúmë
elenillor pella
talta-taltala
atalantëa mindonnar?

Man tiruva rácina cirya
ondolissë mornë
nu fanyarë rúcina,
anar púrëa tihta
axor ilcalannar
métim’ auressë?

Man cenuva métim’ andúnë?",Makirya,"Who shall see a white ship
from the final beach steering,
the vague phantoms
in her cold bosom
like gulls wailing? 

Who shall heed a white ship
like a butterfly fluttering,
in the flowing sea
on star-like wings,
the sea foaming,
the foam flying in the wind,
the wings shining white,
the light slowly fading?

Who shall hear the roaring wind
like the many leaves of the forests,
the white rocks growling
in the gleaming moonlight,
in the dwindling moonlight,
in the falling moonlight
like a corpse-candle;
the storm grumble,
the abyss 

Who shall see the clouds assemble,
the Heavens bending
upon crumbling hills,
the sea heaving,
the abyss yawning,
the old darkness
from beyond the stars
sliding down and collapsing
upon lofty ruined towers?

Who shall heed a broken ship
on the many black rocks
under shattered skies,
a discoloured sun blinking
on bones gleaming
in the last down? 

Who shall see the last evening? ",,0
elvish_8,Átaremma,"Átaremma i ëa han ëa,
na airë esselya,
aranielya na tuluva,
na carë indómelya
cemendë tambë Erumandë.
Ámen anta síra ilaurëa massamma,
ar ámen apsenë úcaremmar
sív' emmë apsenet tien i úcarer emmen.
Álame tulya úsahtienna
mal ámë etelehta ulcullo.

Násië. ",Átaremma,"Our Father, who art in Heaven,
hallowed be Thy Name.
Thy Kingdom come,
Thy Will be done,
on Earth, as it is in Heaven.
Give us this day our daily bread,
and forgive us our trespasses,
as we forgive those who trespass against us.
And lead us not into temptation,
but deliver us from evil.

Amen. ",,0
elvish_9,Aiya María,"Aia María quanta Eruanno
i Héru aselyë
aistana elyë imíca nissi
ar aistana i yávë mónalyo Yésus
Airë María Eruo ontaril
á hyamë rámen úcarindor
sí ar lúmessë ya firuvammë

Násië ",Aiya María,"Hail Mary, full of grace,
the Lord is with thee;
blessed art thou amongst women,
and blessed is the fruit of thy womb, Jesus.
Holy Mary, Mother of God,
pray for us sinners,
now and at the hour of our death.

Amen. ",,0
elvish_10,Litany of Loreto,"Heru órava omesse.
A Hrísto órava omesse.


Atar meneldea Eru órava omesse.
A Eruion Mardorunando Eru órava omesse.
A Aina Faire Eru órava omesse.
A Aina Neldie Eru Er órava omesse.


A Aina Maria arca atarme.
Aina Eruontarie arca atarme.
Aina Wende mi Wenderon arca atarme.


Amille Hristo arca atarme.
Amille Eruva lisseo arca atarme. ",Litany of Loreto,"Lord, have mercy on us.
O Christ, have mercy on us.


Father of heaven, God, have mercy on us.
O Son of God, Redeemer of the world, God, have mercy on us.
O Holy Spirit, God, have mercy on us.
O Holy Trinity, one God, have mercy on us.


O Holy Mary, pray for us.
Holy Mother of God pray for us.
Holy Virgin of virgins, pray for us.


Mother of Christ, pray for us.
Mother of divine grace, pray for us. ",,0
elvish_11,Ortírielyanna,"Ortírielyanna rucimme, Aina Eruontari.
Álalye nattira arcandemmar sangiemmassen,
ono alyë eterúna me illumë ilya raxellor,
alcarin Vénde ar manaquenta",Sub tuum praesidium,"We fly to thy patronage, O holy Mother of God;
despise not our petitions in our necessities,
but deliver us always from all dangers,
O glorious and blessed Virgin. ",,0
elvish_25,Aiya Eärendil elenion ancalima!,Aiya Eärendil elenion ancalima!,"Hail Eärendil, brightest of Stars","Hail Eärendil, brightest of Stars",,0
elvish_26,Alcar i ataren ar i yondon ar i airefean,Alcar i ataren ar i yondon ar i airefean,"Glory to the Father, and to the Son, and to the Holy Ghost.","Glory to the Father, and to the Son, and to the Holy Ghost.",,0
elvish_27,Alcar mi tarmenel na Erun ar mi cemen raine i hínin,Alcar mi tarmenel na Erun ar mi cemen raine i hínin,"Glory to God in the Highest, and peace to His people on earth.","Glory to God in the Highest, and peace to His people on earth.",,0
elvish_28,Arktik,"Mára mesta an ni véla tye ento, ya rato nea",Arctic,"Good-bye until I see you next, and I hope it will be soon",,0
elvish_29,Aurë entuluva!,Aurë entuluva!,Day shall come again,Day shall come again,,0
elvish_30,Utúlie'n aurë!,Utúlie'n aurë!,The day has come!,The day has come!,,0
elvish_31,Elen síla lúmenn’ omentielvo,Elen síla lúmenn’ omentielvo,A star shines on the hour of our meeting,A star shines on the hour of our meeting,,0
elvish_32,Fíriel's song,"Ilu Ilúvatar en kárẹ eldain a fírimoin
ar antaróta mannar Valion: númessier.
Toi aina, mána, meldielto - enga morion:
talantie. Alkar Mardello lende: márie.
En kárielto eldain Isil, hildin Úr-anar.
Toi írimar. Ilyain antalto annar lestanen
Ilúvatáren. Ilu vanya, fanya, eari,
i-mar, ar ilqa ímen. Írima ye Númenor.
Nan úye sére indo-ninya símen, ullume;
ten sí ye tyelma, yéva tyel ar i narqelion,
íre ilqa yéva nótina, hostainiéva, yallume:
ananta úva táre fárea, ufárea!
Man táre antáva nin Ilúvatar, Ilúvatar
enyáre tar i tyel, íre Anarinya qeluva?",Fíriel's song,"The Father made the World for Elves and Mortals
and he gave it into the hands of the Lords. They are in the West.
They are holy, blessed, and beloved: save the dark one.
He is fallen. Alkar [Melkor] has gone from Earth: it is good.
For Elves they made the Moon, but for Men the red Sun;
which are beautiful. To all they gave in measure the gifts
of Ilúvatar. The World is fair, the sky, the seas,
the earth, and all that is in them. Lovely is Númenor.
But my hearth resteth not here for ever,
for here is ending, and there will be an end and the Fading,
when all is counted, and all numbered at last,
but yet it will not be enough, not enough.
What will the Father, O Father, give me
in that day beyond the end when my Sun faileth? ",,0
elvish_33,"A laita te, laita te! Andave laituvalmet!","A laita te, laita te! Andave laituvalmet!","Bless them, bless them, long will we praise them","Bless them, bless them, long will we praise them",line 7 of Long live the Halflings! Praise them with great praise!,0
elvish_34,"Cormacolindor, a laita tárienna!","Cormacolindor, a laita tárienna!","The Ring bearers, bless them to the height","The Ring bearers, bless them to the height",line 9 of Long live the Halflings! Praise them with great praise!,0
